municipio,ano,populacao,pib,ipca,indice_ipca,receita_nominal,receita_tributaria,transferencias,despesa_nominal,despesa_educacao,despesa_saude,indicador_saude,obitos_residencia,ideb,deflator_2024,pib_real_2024,receita_nominal_real_2024,despesa_nominal_real_2024,receita_tributaria_real_2024,transferencias_real_2024,despesa_educacao_real_2024,despesa_saude_real_2024,receita_nominal_per_capita_2024,despesa_nominal_per_capita_2024,despesa_educacao_per_capita_2024,despesa_saude_per_capita_2024,receita_tributaria_per_capita_2024,proxy_carga_tributaria,receita_pib,outras_receitas_real_2024
Santos,2015,433966.0,20049770000.0,0.1067,4493.17,2033564474.97,991090259.46,798492164.8,2112070756.33,526424223.94,504883925.55,9.482309674029763,4115.0,6.1,1.5802874140083727,31684399184.76265,3213616345.3696356,3337678833.7234435,1566207463.1709306,1261847118.2177393,831901575.521507,797861713.0818052,7405.226089992386,7691.106754269789,1916.9740844248329,1838.535076669152,3609.0556936970424,0.04943150267858435,0.10142582558154034,385561763.9809656
Santos,2016,434359.0,21708055000.0,0.0629,4775.7,2539333734.29,1000635205.42,791089093.56,2455214454.89,544968584.95,535756168.97,9.86741382128608,4286.0,,1.486797746927152,32275487264.170696,3775475674.8384833,3650407319.7534275,1487742168.914444,1176189481.923651,810258064.2497383,796561064.9269186,8692.062728845225,8404.124974395436,1865.4110177289715,1833.8771958838624,3425.1441064060928,0.04609511102768074,0.1169765662695253,1111544024.0003884
Santos,2017,434742.0,22410299000.0,0.029500000000000002,4916.46,2639959078.34,1057880860.04,820709119.61,2489780313.0,552516860.32,535477699.18,9.59649631275561,4172.0,6.0,1.444230198150702,32365630565.38648,3812708622.820723,3595815914.7957067,1527823484.1154041,1185292894.4384384,797961534.6615574,773353063.5920134,8770.048955060065,8271.149129358808,1835.4829638304038,1778.878193484902,3514.322251163688,0.047205120290452166,0.11780115376149154,1099592244.2668805
Santos,2018,432957.0,22473309000.0,0.0375,5100.61,2899255274.33,1381918890.54,879193141.16,2627801974.02,488365199.08,520272126.89,9.691493612529651,4196.0,,1.3920883972701306,31284832707.1664,4036019628.1190224,3658132638.356787,1923753253.4891455,1223914570.768316,679847527.2697854,724264791.2666221,9321.987236882698,8449.182339947818,1570.2426043920884,1672.8330787274997,4443.2894109326,0.06149156274850312,0.12900882884358508,888351803.8615608
Santos,2019,433311.0,22750571000.0,0.0431,5320.25,3012500276.85,1598362725.39,951793151.55,3094307963.55,534263889.28,625273505.37,9.762041582143079,4230.0,5.8,1.3346177341290353,30363315518.16174,4020536293.5526385,4129718283.010531,2133203238.8763113,1270280019.2811944,713038061.3378394,834501108.9478285,9278.638884202428,9530.610307632465,1645.5572587306563,1925.8710463104526,4923.030430513676,0.0702559388680838,0.1324142711341179,617053035.3951328
Santos,2020,433656.0,22454712000.0,0.0452,5560.59,3063999358.86,1552518739.05,1117807903.42,3218125154.97,496465840.87,745712507.37,11.423801354068662,4954.0,,1.276932843457259,28673159243.173836,3912521413.660319,4109329704.7371745,1982462167.9757948,1427365624.553098,633953537.8615283,952224792.4376163,9022.177517802864,9476.01256465303,1461.8811635525124,2195.806797179369,4571.508679634998,0.06913999783430756,0.13645240067474482,502693621.1314261
Santos,2021,433991.0,24090173000.0,0.10060000000000001,6120.04,3312619187.98,1692394644.48,1238415211.26,3408892390.45,529182292.17,834010792.24,13.179996820210556,5720.0,5.9,1.1602048352625147,27949535196.91048,3843316799.277781,3955013434.289682,1963524449.6980805,1436815316.1665006,613959854.1109349,967623353.8179686,8855.752306563456,9113.1231622077,1414.683378482353,2229.593134000402,4524.343706892725,0.07025249027808975,0.13750914897871425,442977033.4131999
Santos,2022,418608.0,27510857000.0,0.0579,6474.09,3866240339.41,2030661647.45,1432227211.71,3902457281.41,726799402.15,805537783.11,11.459408324733403,4797.0,,1.0967564553473925,30172710006.889,4240324050.1724114,4280045215.103853,2227141270.4671583,1570804439.9671392,797121936.0506381,883478763.6521204,10129.581972089429,10224.47066253835,1904.22050235695,2110.5157179320995,5320.3504722011,0.0738131003134508,0.14053507454929523,442378339.7381139
Santos,2023,,30961718000.0,0.0462,6773.27,4328935144.45,2221266176.34,1552493210.6,4591046004.8,806233411.89,904449429.33,,,5.9,1.0483119674839478,32457539513.26316,4538074518.388787,4812848470.101207,2328579915.6245313,1627497212.109557,845184134.269702,948145160.7506661,,,,,,0.07174234247401905,0.13981572806941786,581997390.6546991
Santos,2024,429567.0,,0.0483,7100.5,5188075858.69,2486315217.47,1938126442.05,5171875878.5,893581482.96,1078461681.78,11.00410413276625,4727.0,,1.0,,5188075858.69,5171875878.5,2486315217.47,1938126442.05,893581482.96,1078461681.78,12077.454410348093,12039.742062355814,2080.191176137832,2510.5785169251826,5787.956750565103,,,763634199.1699998
São José dos Campos,2015,688597.0,33889622000.0,0.1067,4493.17,2596017057.1,566692880.84,1425092661.32,2292586419.37,540148029.47,569579109.86,5.43569025133714,3743.0,6.6,1.5802874140083727,53555343112.10126,4102453081.8861847,3622945464.056932,895537627.1995986,2252055996.4796925,853589132.6728647,900098698.5938503,5957.698162911231,5261.343665535766,1239.6062321980269,1307.1487366251235,1300.5250200038608,0.01672172327091757,0.07660212489534406,954859458.2068939
São José dos Campos,2016,695992.0,41630243000.0,0.0629,4775.7,3047078837.16,597148761.95,1442699376.51,2695018760.99,604468483.92,600907111.07,5.560408740330349,3870.0,,1.486797746927152,61895751496.42984,4530389949.798894,4006947821.7663364,887839433.8475983,2145002182.488275,898722379.9807274,893427338.85138,6509.255781386702,5757.175113746043,1291.282629657708,1283.6747244959424,1275.6460330687685,0.014344109448268175,0.07319387583589171,1497548333.4630208
São José dos Campos,2017,703219.0,39396425000.0,0.029500000000000002,4916.46,2855786776.65,647006416.93,1525971060.47,2439456950.88,576314938.63,613618505.82,5.363905127705594,3772.0,6.9,1.444230198150702,56897506684.17927,4124413502.3173842,3523137395.54953,934426205.7275895,2203853487.034825,832331438.0148145,886206376.2493564,5865.048444819301,5010.0145126191555,1183.6020329581745,1260.2139251774431,1328.784071146527,0.01642297281872657,0.07248847520174738,986133809.5549698
São José dos Campos,2018,713943.0,39694815000.0,0.0375,5100.61,2776127871.23,760985942.94,1638078392.71,2821691128.52,618293009.9,652285597.92,5.5704727128076055,3977.0,,1.3920883972701306,55258691393.28434,3864615398.87751,3928043480.692753,1059359701.6524438,2280349924.3104954,860718525.1950159,908039212.5708416,5413.058744013892,5501.900684918478,1205.5843746559822,1271.865138492627,1483.815516998477,0.019170915469438516,0.0699367882487927,524905772.9145708
São José dos Campos,2019,721944.0,43562280000.0,0.0431,5320.25,3014955175.87,848042605.1,1759144825.38,3159755267.6,689081151.91,698565146.05,5.831477233691255,4210.0,7.0,1.3346177341290353,58138991427.09459,4023812645.320226,4217065415.6465955,1131812700.0634463,2347785880.853473,919659925.5931497,932317432.3627695,5573.580008034178,5841.263887014222,1273.8660139749754,1291.3985466501135,1567.7292145421893,0.0194673604113467,0.0692102244388953,544214064.4033065
São José dos Campos,2020,729737.0,39363729000.0,0.0452,5560.59,3246798105.99,873062199.19,1892654222.4,3243268606.75,666328298.75,785962531.7,6.373529093358291,4651.0,,1.276932843457259,50264838401.05097,4145943137.613454,4141436204.112941,1114841796.5267346,2416792337.8906198,850856489.1988755,1003621370.4545472,5681.421029238553,5675.2449226405415,1165.9769056507694,1375.319286886299,1527.7309448838892,0.022179357021536245,0.08248197486549101,614309003.1960998
São José dos Campos,2021,737310.0,45208808000.0,0.10060000000000001,6120.04,3665157452.52,960926916.05,2170960021.75,3519273227.79,788993388.28,832012797.39,7.729448942778478,5699.0,6.7,1.1602048352625147,52451477638.05466,4252333398.4121447,4083077815.491875,1114872054.3351066,2518758314.395964,915393944.0726107,965305270.532169,5767.361623214312,5537.803387302322,1241.5319798627588,1309.225794485588,1512.08047406804,0.021255303082753255,0.08107175602860399,618703029.6810737
São José dos Campos,2022,697054.0,56653327000.0,0.0579,6474.09,4095931064.75,1089719235.74,2423047597.07,4025395641.59,965039090.53,923844384.66,6.893296645597041,4805.0,,1.0967564553473925,62134902104.15673,4492238835.922482,4414878655.241092,1195156606.3140721,2657493093.7005105,1058412852.2013541,1013232292.6122946,6444.606638685786,6333.625020789052,1518.4086917245352,1453.5922505462913,1714.5825234688734,0.019234867455180524,0.07229815584793457,639589135.9078989
São José dos Campos,2023,,61394524000.0,0.0462,6773.27,4265105527.41,1224966861.33,2451242701.07,4495678137.0,1035222635.31,1002858597.8,,,6.8,1.0483119674839478,64360614247.18046,4471161166.9658375,4712873192.97304,1284147420.5034885,2569667058.7393584,1085236277.6057434,1051308669.7679111,,,,,,0.01995237981371107,0.06947045517300532,617346687.7229905
São José dos Campos,2024,724756.0,,0.0483,7100.5,4806703588.73,1368945023.35,2828848874.37,4887415434.24,1173604001.11,1100623778.41,6.93750724381723,5028.0,,1.0,,4806703588.73,4887415434.24,1368945023.35,2828848874.37,1173604001.11,1100623778.41,6632.168052047861,6743.532215311084,1619.3091207385658,1518.6128550988196,1888.8357231261277,,,608909691.0099998
